record,S1r1,S1r2,S1r3,S1r4,S1r5,S1r6,MRK_Sample,age,MRK_Age,gender,S6r1,S6r2,S6r3,S6r4,numdogs,S9,S10,M1r1,M1r2,M1r3,M1r4,M1r5,M1r6,M1r7,M1r8,M1r9,M1r10,M1r11,M1r12,M1r13,M1r14,M1r15,M1r16,M1r17,M1r18,M2r1,M2r2,M2r3,M2r4,M2r5,M2r6,M2r7,M2r8,M2r9,M2r10,M3r1,M3r2,M3r3,M3r4,M3r5,M3r6,M3r7,M3r8,M3r9,M3r10,M3r11,M3r12,M4r1,M4r2,M4r3,M4r4,M4r5,M4r6,M4r7,M4r8,M4r9,M4r10,M4r11,M4r12,M4r13,M4r14,M4r15,M4r16,M4r17,M4r18,M4r19,M4r20,M5r1,M5r2,M5r3,M5r4,M5r5,M5r6,M5r7,M6,M7r1,M7r2,M7r3,M7r4,M7r5,M7r6,M7r7,M7r8,M7r9,M7r10,M7r11,M7r12,M7r13,M7r14,M7r15,M7r16,M7r17,M7r18,M7r19,M7r20,M7r21,M7r22,M7r23,M7r24,M7r25,M7r26,M7r27,M7r28,M7r29,D1,D1b,D2,D3,D4,D5,D6,D7,S2,state,S8,M1r4_rev,M1r6_rev,M1r9_rev,M1r12_rev,M1r15_rev,M1r17_rev,PAStotal,socSupport,depress,gad7
6741,0,0,0,0,0,1,2,60,4,2,5,3,5,3, , , ,5,5,6,1,7,1,7,6,4,5,7,3,5,7,1,7,1,7,5,5,5,5,5,5,5,4,4,4,6,5,6,5,5,7,6,6,6,5,6,7,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,1,2,5,3,4,2,6,5,3,3,5,4,4,4,4,5,4,4,4,3,4,3,3,3,4,4,3,3,4,4,2,1,5,3,1,3,2,1,2,4,7, ,7,7,4,5,7,7,111,70,23,4
6756,0,0,0,0,0,1,2,62,4,2,2,2,4,2, , , ,7,6,7,1,7,1,7,5,1,6,7,1,2,7,1,6,1,6,5,5,5,4,5,5,5,5,5,5,7,7,7,7,7,7,5,7,5,7,7,5,1,1,2,2,3,2,2,2,3,1,1,1,1,1,1,3,3,1,3,3,0,2,1,1,0,1,1,2,6,4,4,4,2,4,3,3,3,4,3,3,5,6,3,4,3,4,5,2,2,3,5,6,2,3,3,5,4,2,2,3,1,3,2,1,4,5,23, ,7,7,7,7,7,7,115,78,37,6
6776,0,0,0,0,0,1,2,56,4,2,5,5,4,5, , , ,7,7,6,1,7,4,7,4,1,4,6,1,4,7,1,4,1,7,3,2,3,3,3,3,3,3,3,3,4,2,4,2,2,2,1,1,1,1,1,1,5,1,5,5,5,5,5,5,1,5,2,5,5,5,1,5,5,1,5,5,3,3,3,3,3,3,3,3,6,1,1,4,2,6,2,1,1,4,1,1,6,4,1,4,3,1,6,4,3,4,4,6,1,1,3,6,1,1,4,3,5,2,2,1,1,4,36, ,7,4,7,7,7,7,109,22,81,21
6820,0,0,0,0,0,1,2,61,4,2,5,3,5,3, , , ,7,5,7,1,7,1,7,7,1,6,7,1,2,7,1,7,1,7,3,4,5,5,5,5,5,4,4,4,5,5,5,5,6,5,5,6,5,6,5,5,1,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,2,5,5,5,2,2,4,4,5,1,4,4,3,5,5,6,5,2,2,4,5,4,2,1,4,5,1,2,1,2,3,5,1,2,2,1,7,5,50, ,7,7,7,7,7,7,118,63,24,0
6821,0,0,0,0,0,1,2,61,4,2,4,1,2,1, , , ,7,7,7,1,7,1,7,7,1,7,7,1,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,3,7,6,2,7,5,5,7,7,7,2,7,5,4,2,4,5,4,1,1,1,1,1,2,1,1,1,4,1,1,5,1,2,2,2,2,1,1,3,3,6,6,3,2,6,5,2,5,3,6,1,1,6,5,1,6,3,2,5,2,2,3,2,1,1,3,2,6,6,2,2,2,5,1,2,1,1,5,19, ,7,7,7,7,7,7,120,65,46,13
6843,0,0,0,0,0,1,2,60,4,2,4,1,5,3, , , ,7,6,7,1,7,3,6,6,2,7,7,1,5,7,1,7,1,6,4,3,3,3,4,3,4,4,4,4,6,5,4,4,6,4,4,4,4,6,4,5,1,3,3,4,1,5,4,5,4,4,1,5,1,4,1,4,5,1,1,4,3,3,3,1,0,3,3,3,6,3,1,3,6,6,2,2,1,2,2,1,5,6,1,2,3,3,6,1,2,2,5,5,1,1,3,6,1,3,2,3,1,1,2,1,1,4,20, ,7,5,6,7,7,7,117,56,61,16
6855,0,0,0,0,0,1,2,61,4,2,2,1,3,1, , , ,7,5,6,1,7,1,6,7,1,6,7,1,4,7,2,7,1,6,5,5,4,4,4,4,4,4,4,4,7,7,7,6,6,4,4,6,5,7,6,5,1,1,3,2,1,3,2,2,2,2,1,1,1,1,1,3,2,1,3,2,1,1,1,1,0,1,1,2,5,6,3,5,4,5,3,4,4,2,3,3,6,6,3,5,4,4,4,2,3,3,5,3,2,4,2,4,5,1,4,3,1,1,2,1,1,5,22, ,7,7,7,7,6,7,116,70,35,6
6861,0,0,0,0,0,1,2,61,4,2,5,3,5,3, , , ,6,5,6,1,6,1,6,6,3,5,7,1,2,7,2,7,1,7,4,4,4,3,4,4,4,4,4,4,5,5,6,5,5,3,4,3,3,5,5,3,1,1,2,1,2,2,3,1,1,2,1,3,3,1,1,5,1,1,3,3,1,0,1,0,0,1,0,2,6,1,4,5,6,6,4,3,4,4,4,3,6,4,4,4,3,3,4,3,3,3,5,5,2,3,3,6,5,2,2,2,4,1,2,1,2,5,22, ,7,7,5,7,6,7,109,52,38,3
6902,0,0,0,0,0,1,2,61,4,2,1,1,1,2, , , ,7,5,6,1,7,1,7,7,3,5,7,1,6,7,3,7,1,7,4,4,4,4,4,4,4,4,4,4,1,5,1,1,5,6,6,1,6,1,1,6,1,3,2,4,3,4,1,2,1,1,1,1,1,1,1,3,1,1,2,2,1,1,1,0,0,1,1,2,5,5,5,5,4,3,3,5,2,5,4,1,3,5,1,5,5,3,5,4,3,4,3,3,2,5,1,2,1,1,1,4,2,3,2,1,1,4,20, ,7,7,5,7,5,7,116,40,36,5
6913,0,0,0,0,0,1,2,57,4,2,3,4,4,3, , , ,5,5,7,2,6,2,6,5,4,3,5,2,5,6,3,6,2,5,4,4,3,3,3,3,3,4,3,3,6,6,6,6,6,4,4,6,3,6,6,3,4,1,1,1,4,1,1,4,1,4,4,1,1,2,1,4,1,1,1,1,1,0,1,1,0,1,0,2,4,1,3,3,2,4,3,3,3,4,3,3,5,4,3,4,4,4,5,2,2,4,4,3,3,4,3,5,2,2,2,3,4,3,2,1,2,5,9, ,6,6,4,6,5,6,97,62,39,4
6922,0,0,0,0,0,1,2,63,4,2,5,3,4,3, , , ,7,6,7,1,7,1,7,7,2,3,7,1,2,7,1,7,1,7,4,4,4,4,4,4,4,4,4,4,6,6,7,7,6,4,4,7,4,6,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,1,5,6,5,1,1,3,6,6,2,5,5,2,3,6,5,5,3,1,5,6,6,2,1,2,5,1,2,1,1,5,2,5,3,2,1,1,5,21, ,7,7,6,7,7,7,115,67,20,0
6984,0,0,0,0,0,1,2,60,4,2,5,3,5,3, , , ,6,2,7,1,7,1,7,7,5,7,7,1,4,7,1,7,1,1,5,5,3,3,3,3,3,3,3,3,7,7,7,7,7,4,4,6,4,7,7,5,2,2,1,2,3,2,2,2,1,2,2,1,1,1,1,2,1,1,3,1,0,0,0,0,0,1,0,1,4,3,4,3,4,4,3,3,4,3,4,3,4,4,3,6,1,2,4,3,3,2,2,4,1,3,2,2,3,2,2,5,5,1,2,1,1,5,14, ,7,7,3,7,7,7,107,72,33,1
7002,0,0,0,0,0,1,2,56,4,2,5,5,5,4, , , ,7,4,7,1,7,1,1,4,4,6,7,1,1,7,1,1,1,7,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,4,6,7,7,7,7,7,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,0,0,0,0,0,1,0,1,1,1,5,5,1,2,3,4,5,2,5,5,2,1,5,5,5,5,1,5,5,5,1,1,4,4,1,1,1,2,6,3,1,2,2,1,2,4,17, ,7,7,4,7,7,7,98,80,25,1
7059,0,0,0,0,0,1,2,57,4,2,4,3,4,3, , , ,6,4,6,3,6,1,7,7,4,3,6,3,5,7,3,5,1,6,4,4,4,4,4,4,4,3,3,4,6,6,7,6,6,5,5,6,3,6,6,4,1,2,2,2,3,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,0,1,1,1,0,0,1,1,3,4,4,5,5,4,3,5,4,3,4,4,4,4,4,5,4,4,3,4,5,4,3,4,4,4,2,4,4,3,2,2,5,2,2,1,2,4,38, ,5,7,4,5,5,7,101,66,30,4
7106,0,0,0,0,0,1,2,58,4,2,5,2,3,2, , , ,6,7,7,1,7,1,7,7,1,6,7,1,6,7,2,7,1,6,5,5,5,5,5,5,5,5,5,5,6,6,6,5,6,5,5,3,6,7,5,5,1,1,3,2,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2,2,0,0,0,0,0,1,1,2,2,3,2,3,1,5,4,3,2,5,3,2,3,5,4,5,3,4,3,2,5,3,1,5,2,4,4,4,2,1,4,5,5,3,2,1,2,5,43, ,7,7,7,7,6,7,121,65,30,2
7198,0,0,0,0,0,1,2,55,4,2,2,2,2,2, , , ,7,5,4,3,5,4,4,6,3,6,6,3,3,4,3,6,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,5,3,2,5,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,0,0,0,2,0,0,2,2,4,4,4,2,2,4,4,5,3,4,4,4,3,4,5,5,4,3,5,4,4,3,2,5,3,3,2,2,1,5,3,1,1,2,1,1,4,43, ,5,4,5,5,5,5,90,40,28,3
7213,0,0,0,0,0,1,2,62,4,2,3,2,2,2, , , ,7,1,7,1,7,6,7,6,5,6,7,2,5,6,1,5,1,6,5,3,2,1,5,5,5,5,5,5,1,1,5,5,1,4,6,5,6,1,5,5,1,2,2,2,1,2,3,2,1,2,2,4,1,1,1,4,1,1,2,2,1,1,1,1,0,0,0,2,5,5,3,5,6,5,4,4,3,5,4,3,2,6,3,4,3,2,5,4,3,3,3,4,6,4,2,6,3,1,1,2,5,1,2,1,1,5,22, ,7,2,3,6,7,7,102,45,37,4
54,1,0,0,0,0,0,1,58,4,1,3,2,4,1,1,4,2,7,6,7,1,7,2,7,6,2,6,7,1,3,6,1,6,1,7,5,5,4,3,4,3,4,4,3,4,5,6,5,6,6,6,6,7,6,3,6,5,1,2,3,3,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,2,1,0,0,0,1,1,0,2,3,5,4,3,4,3,4,4,5,3,4,4,2,4,3,5,4,3,3,3,5,2,3,4,2,4,3,2,1,1,4,5,1,3,2,4,5, ,3,4,7,6,6,7,7,7,115,67,32,3
97,0,0,0,0,0,1,2,64,4,1,1,1,1,1, , , ,7,7,7,1,7,1,7,7,1,7,7,1,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,3,3,3,3,3,3,3,4,6,1,4,1,6,4,4,1,4,1,1,1,6,6,1,1,1,1,1,1,1,1,6,6,1,1,6,6,6,1,5,4,5,1,2,1,3,5,6, ,7,7,7,7,7,7,120,12,96,21
98,0,0,0,0,0,1,2,59,4,1,3,3,4,3, , , ,7,3,6,1,7,2,7,6,2,6,6,2,2,6,2,6,1,6,5,4,4,4,5,5,4,5,5,4,7,7,7,7,7,5,5,7,5,7,7,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,2,6,4,1,2,3,5,6,5,4,5,2,4,5,6,4,5,1,5,6,5,2,1,5,5,1,1,1,3,2,5,1,3,2,1,7,4,46, ,7,6,6,6,6,7,106,76,21,2
105,0,0,0,0,0,1,2,61,4,1,4,3,3,3, , , ,5,5,6,3,6,6,6,6,7,4,7,1,2,6,4,6,1,3,3,2,3,2,4,3,2,4,3,2,5,6,7,5,5,6,6,6,6,4,6,5,1,1,1,1,5,2,2,1,1,2,1,1,2,1,1,2,1,1,5,2,0,0,0,0,1,0,0,2,4,2,3,3,6,5,4,3,4,3,4,2,3,4,5,5,4,4,3,4,5,5,2,4,3,4,2,4,3,1,1,3,5,3,2,1,1,4,9, ,5,2,1,7,4,7,88,67,34,1
155,0,0,0,0,0,1,2,61,4,1,5,5,5,3, , , ,6,4,6,1,7,1,6,5,2,5,7,1,3,7,1,6,1,7,5,3,5,3,4,3,3,4,4,2,6,7,5,7,7,6,6,7,6,7,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,1,6,5,5,2,2,4,4,5,2,5,5,4,3,6,4,5,4,2,5,6,6,1,2,5,4,1,2,1,2,2,3,1,1,2,1,4,5,20, ,7,7,6,7,7,7,110,76,20,0
156,1,0,0,0,0,0,1,63,4,1,2,3,5,2,1,3,2,7,7,7,1,7,1,5,6,1,7,7,1,1,7,1,6,1,7,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,5,2,1,2,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,0,1,2,2,1,4,3,6,5,4,5,6,1,3,4,5,4,4,6,3,4,2,3,2,3,4,1,2,3,3,1,1,2,2,4,4,3,1,1,4, ,9,4,7,7,7,7,7,7,116,82,27,5
163,1,0,0,0,0,0,1,63,4,1,4,4,4,2,2,5,2,6,6,6,1,7,1,6,6,2,2,6,3,2,6,1,5,1,6,4,3,4,3,4,4,4,4,4,4,2,2,3,3,3,3,4,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,4,4,5,4,2,1,4,4,5,1,5,4,1,4,4,4,4,4,2,4,4,5,3,2,4,4,2,2,3,2,2,4,5,1,2,1,2, ,33,5,7,7,6,5,7,7,103,36,20,0
173,1,0,0,0,0,0,1,56,4,1,4,4,3,4,1,2,2,7,6,7,1,7,1,7,7,1,6,7,1,2,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,6,7,6,7,7,6,7,7,7,6,7,7,1,1,2,2,2,1,2,1,1,2,2,2,1,1,1,2,1,1,2,1,0,0,0,1,0,0,0,1,1,5,5,6,2,2,6,6,5,1,4,4,4,3,4,5,4,4,1,4,5,6,1,1,4,4,2,2,2,1,1,3,1,3,2,1,3, ,9,2,7,7,7,7,7,7,119,80,29,1
248,1,1,0,0,0,0,1,59,4,1,3,2,5,2,1,3,2,7,2,7,2,7,2,7,6,4,4,7,3,5,7,2,7,1,3,4,4,4,4,4,3,3,3,3,3,7,7,7,6,6,6,6,6,6,6,6,6,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,1,0,0,0,1,4,5,5,3,2,3,2,4,5,3,4,4,3,5,4,6,4,5,2,3,6,4,3,2,4,4,2,2,1,2,2,5,1,2,2,1,8, ,21,3,6,6,4,5,6,7,103,75,24,2
268,0,0,0,0,0,1,2,63,4,1,2,3,4,3, , , ,7,6,7,1,6,1,6,5,2,4,6,1,2,6,2,6,1,6,5,5,5,5,5,5,5,5,5,5,4,6,5,5,6,5,6,6,7,7,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,1,2,5,5,1,2,1,4,4,3,1,5,1,3,4,4,5,5,2,5,5,4,5,2,4,5,1,1,1,2,2,4,1,3,2,1,5,4,7, ,7,7,6,7,6,7,107,68,20,0
465,1,1,0,0,0,0,1,59,4,1,5,5,5,4,1,6,2,4,1,2,7,1,2,1,1,5,2,2,2,2,2,4,3,4,1,5,1,1,1,2,2,2,2,2,2,5,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,6,5,6,3,1,1,5,6,6,5,6,5,1,6,6,6,6,6,1,5,6,6,1,1,6,6,1,5,1,2,2,4,6,3,2,1,4, ,43,6,1,6,3,6,4,4,46,82,20,0
494,1,1,0,0,0,0,1,63,4,1,4,3,5,4,1,6,2,7,7,7,1,7,1,6,6,1,5,7,1,2,7,1,7,1,7,5,5,5,4,5,5,4,5,5,4,4,4,5,4,4,5,5,3,5,4,4,4,1,1,2,2,2,2,2,1,3,1,1,1,1,2,1,3,2,1,2,1,0,0,1,0,0,0,0,1,4,2,4,4,4,4,4,3,3,3,5,3,5,4,3,4,4,5,4,3,4,3,4,5,3,2,3,3,4,2,1,4,4,2,2,1,2, ,30,6,7,7,7,7,7,7,117,51,32,1
507,1,0,0,0,0,0,1,62,4,1,4,4,4,4,1,4,2,7,5,7,1,7,1,7,7,1,7,7,1,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,2,1,1,1,3,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,4,5,5,2,1,4,4,5,1,5,5,3,5,5,5,5,1,1,5,5,6,2,1,4,6,1,1,1,2,2,3,1,1,2,1,6, ,7,4,7,7,7,7,7,7,118,82,26,2
509,0,0,0,0,0,1,2,61,4,1,2,4,5,2, , , ,7,4,6,1,7,2,6,4,1,4,6,2,5,6,1,4,1,6,3,3,3,3,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,5,5,5,3,2,1,1,3,1,1,1,1,3,4,1,4,2,3,2,3,3,2,2,2,2,5,2,4,1,5,4,2,4,4,5,3,3,6,4,3,4,2,3,1,1,3,2,2,1,4,2,5,3,6,1,4,3,4,1,1,1,1,4,9, ,7,6,7,6,7,7,105,12,54,17
540,1,0,0,0,0,0,1,61,4,1,5,5,5,4,1,4,2,7,6,7,1,7,1,7,6,2,5,7,1,1,7,1,7,1,7,5,3,4,4,5,5,5,5,5,5,4,4,4,4,4,4,5,5,6,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,1,5,5,6,6,6,4,5,6,1,5,5,3,5,6,5,6,6,6,6,6,5,1,1,6,6,1,3,1,2,2,4,1,1,2,1,8, ,15,4,7,7,6,7,7,7,115,53,20,0
550,1,0,0,0,0,0,1,60,4,1,3,4,5,3,1,6,2,5,1,3,5,3,2,6,6,7,1,3,5,6,2,7,5,1,5,4,4,2,2,4,4,4,4,4,4,1,1,3,1,1,3,5,2,5,1,1,2,1,5,2,5,5,5,1,5,1,5,1,1,1,1,1,1,1,1,5,1,0,0,0,0,0,1,0,1,5,2,2,2,5,6,3,4,1,6,3,1,5,3,1,5,4,4,2,4,3,2,2,6,1,5,3,3,1,1,4,2,1,1,2,1,4, ,25,6,3,6,1,3,1,7,67,26,49,1
614,1,0,0,0,0,0,1,58,4,1,3,2,2,2,1,4,2,7,4,6,1,7,3,6,7,4,4,6,3,5,5,2,7,2,6,4,3,3,4,3,3,4,2,2,2,5,5,5,5,5,5,5,5,6,6,6,6,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0, ,4,3,5,5,3,4,4,4,5,5,3,4,4,4,4,5,5,4,3,2,5,4,4,3,4,4,3,3,2,2,2,3,2,2,2,1,3, ,18,4,7,5,4,5,6,6,103,64,22,0
665,1,1,0,0,0,0,1,58,4,1,3,1,1,1,1,4,2,7,6,7,1,7,4,6,7,1,7,7,1,5,7,7,7,1,7,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,6,6,7,6,7,7,6,2,2,3,3,5,2,2,1,1,3,1,3,3,1,1,4,1,1,5,2,3,3,3,1,0,3,2,3,3,3,4,5,6,4,3,4,5,1,3,2,5,6,3,5,3,5,5,3,3,3,4,2,1,3,2,2,6,4,2,2,5,1,2,1,1, ,49,4,7,4,7,7,1,7,113,80,46,15
673,1,0,0,0,0,0,1,59,4,1,5,5,5,3,1,3,2,6,3,5,3,5,3,5,3,3,3,5,3,4,5,3,5,2,4,4,1,2,2,4,4,2,4,4,2,4,4,5,5,4,5,5,5,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,1,5,5,4,1,1,3,4,4,3,3,4,4,4,4,4,4,4,2,4,4,4,3,2,4,4,3,4,3,1,1,3,1,3,2,1,4, ,13,3,5,5,5,5,5,6,84,56,20,0
723,1,1,0,0,0,0,1,56,4,1,4,3,4,3,1,3,2,7,5,6,2,6,2,6,5,3,5,7,2,3,6,2,5,1,6,5,4,3,2,3,2,2,3,2,2,6,6,6,6,6,6,6,6,6,6,6,6,3,2,3,2,1,2,2,3,1,4,1,2,2,1,1,1,1,1,1,3,2,1,1,1,0,1,1,3,4,2,3,2,1,3,3,2,3,4,2,2,3,3,3,4,3,4,4,3,3,3,4,5,3,4,4,3,4,3,3,3,5,3,2,1,6, ,9,3,6,6,5,6,6,7,103,72,37,7
732,1,0,0,0,0,0,1,64,4,1,2,3,5,2,1,3,2,6,5,7,1,7,5,7,1,2,2,7,4,6,7,1,1,1,7,5,5,5,5,5,5,5,5,5,5,6,6,7,7,6,6,6,7,6,6,7,6,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,2,5,1,1,6,3,6,3,4,3,4,2,1,3,5,3,5,1,5,6,4,1,1,5,5,2,1,4,2,2,3,5,1,2,1,2, ,33,3,7,3,6,4,7,7,97,76,21,3
757,1,1,0,0,0,0,1,57,4,1,4,3,4,3,2,3,2,7,5,7,1,7,1,7,6,1,3,7,1,5,7,1,6,1,7,5,5,4,5,5,5,5,5,5,5,2,5,3,2,3,5,5,3,3,3,5,5,1,2,2,3,2,2,2,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,0,0,1,1,1,4,4,5,5,4,4,4,5,5,4,4,3,6,4,3,6,4,3,4,5,5,4,3,4,5,4,3,4,2,4,2,4,1,1,2,1,3, ,42,3,7,7,7,7,7,7,116,44,31,5
805,1,1,0,0,0,0,1,63,4,1,5,4,5,4,1,2,2,5,1,7,1,7,1,6,4,3,5,7,1,2,7,1,7,1,5,5,5,5,4,5,5,4,4,4,4,6,6,6,6,6,5,5,5,5,6,6,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,0,0,0,2,2,4,5,5,2,2,5,4,6,2,5,5,4,2,5,6,4,4,2,3,5,4,4,2,5,4,2,3,1,2,2,5,5,3,2,1,6, ,37,2,7,7,5,7,7,7,103,67,22,3
808,1,0,0,0,0,0,1,57,4,1,3,3,4,5,1,2,2,7,7,7,1,7,1,7,7,1,6,7,1,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,3,2,4,4,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,4,3,4,4,1,1,4,4,4,1,6,3,3,5,4,5,4,4,3,4,4,4,3,3,4,4,3,2,2,5,2,3,1,3,2,1,6, ,7,3,7,7,7,7,7,7,119,44,23,2
821,1,0,0,0,0,0,1,59,4,1,3,2,3,3,1,4,2,5,3,5,2,5,1,5,5,3,3,6,1,3,5,4,5,1,5,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,5,5,5,4,4,5,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,2,3,4,3,4,3,3,3,4,3,3,2,3,3,3,3,3,2,3,4,3,4,2,3,3,3,3,3,2,4,2,4,1,3,2,1,7, ,38,4,6,7,5,7,4,7,91,54,23,0
833,1,1,0,0,0,0,1,64,4,1,3,2,3,2,2,5,2,6,7,7,1,7,1,7,5,4,6,7,1,1,7,1,7,1,6,5,5,5,5,5,5,5,5,5,5,3,4,2,2,3,4,4,4,3,3,6,3,1,3,5,4,5,5,2,2,1,1,1,3,5,1,1,1,2,1,5,3,3,1,1,3,3,3,1,2,5,2,3,1,6,5,4,2,2,5,4,1,5,6,3,6,3,5,5,2,2,3,2,1,4,4,2,5,6,2,3,3,1,1,2,1,3, ,13,6,7,7,4,7,7,7,112,41,52,15
851,1,0,1,0,0,0,1,55,4,1,4,4,3,2,1,3,2,7,1,7,1,7,1,7,7,1,7,7,1,3,7,1,7,1,4,5,5,5,5,5,5,5,5,5,5,4,4,7,7,4,7,7,6,7,4,7,7,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,1,2,5,5,4,4,2,6,4,5,1,6,5,3,4,5,5,5,4,2,5,6,5,1,1,5,5,1,1,1,2,5,4,1,3,2,1,6, ,30,3,7,7,7,7,7,7,113,71,24,1
862,1,0,0,0,0,0,1,55,4,1,5,4,5,4,1,3,2,6,6,7,1,7,2,7,6,2,5,7,1,2,7,1,6,1,5,5,3,3,2,5,5,5,5,5,3,3,5,4,4,3,4,6,3,4,6,6,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,2,2,6,5,5,1,6,5,6,1,5,5,3,5,5,2,3,2,1,5,6,3,1,2,3,5,2,4,1,3,2,5,1,3,2,1,6, ,33,5,7,6,6,7,7,7,111,50,22,0
869,0,0,0,0,0,1,2,59,4,1,4,5,4,4, , , ,5,3,5,3,5,3,5,5,3,5,5,3,4,5,3,5,3,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,1,2,4,3,3,3,3,4,6,5,4,4,3,3,5,4,3,4,1,4,5,4,1,1,3,4,3,2,2,2,2,4,1,1,2,1,2,4,17, ,5,5,5,5,5,5,87,58,20,0
911,0,0,0,0,0,1,2,55,4,1,5,3,2,1, , , ,4,4,7,1,7,1,7,7,1,7,7,1,1,7,2,4,1,7,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,1,2,2,2,2,2,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1,0,1,1,0,0,0,2,1,1,5,2,1,2,5,3,4,6,6,3,3,3,3,6,6,2,5,3,3,4,2,2,3,5,1,3,1,2,2,5,1,3,2,1,4,5,21, ,7,7,7,7,6,7,110,84,31,3
912,1,1,0,0,0,0,1,57,4,1,2,2,5,4,1,3,2,7,6,7,2,7,1,7,7,1,5,7,1,5,7,1,7,1,6,5,5,4,3,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,5,3,5,1,5,1,1,2,1,1,5,1,3,5,1,3,1,0,0,0,0,0,0,0, ,6,2,1,1,5,6,6,1,1,6,4,1,6,6,3,5,1,1,6,6,6,1,1,6,5,1,4,4,6,3,5,4,5,2,1,1,2, ,15,3,6,7,7,7,7,7,119,12,53,0
922,1,0,0,0,0,0,1,59,4,1,4,1,3,1,1,3,2,7,4,7,1,6,1,6,5,2,4,6,2,3,6,2,6,1,7,4,4,3,3,4,4,4,4,3,3,7,7,6,6,6,6,6,6,6,6,6,6,1,2,1,1,3,2,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,0,0,0,0,1,1,1,2,4,5,5,3,2,4,4,5,4,4,4,3,3,3,5,4,4,4,4,5,4,1,2,3,3,1,3,2,2,2,3,1,1,2,1,1, ,16,3,7,7,6,6,6,7,106,74,27,3
